month_name,weekday_name,crossing,avg_wait_hours,min_wait_hours,max_wait_hours,samples
липень,Понеділок,Росошани – Бричень,4.1,3.45,5.066666666666666,4
липень,Понеділок,Нижанковичі – Мальховичі,6.010144927536232,0.26666666666666666,23.016666666666666,23
липень,Понеділок,Устилуг - Зосин,7.351598173515982,0.8833333333333333,28.433333333333334,73
липень,Понеділок,Серпневе 1 – Басараб'яска,8.794871794871796,1.4333333333333333,20.533333333333335,13
липень,Понеділок,Табаки – Мирне,9.746875000000001,3.4,18.316666666666666,16
липень,Понеділок,Краківець – Корчова,9.918773946360153,1.15,58.3,174
липень,Понеділок,Шегині - Медика,11.00952380952381,0.8666666666666667,23.483333333333334,161
липень,Понеділок,Старокозаче – Тудора,12.05090909090909,1.0,41.766666666666666,110
липень,Понеділок,Грушів – Будомєж,12.535515873015873,0.8,52.0,84
липень,Понеділок,Маяки-Удобне – Паланка,14.641666666666666,0.21666666666666667,60.083333333333336,36
липень,Понеділок,Дяківці – Раковець,15.808680555555556,1.9666666666666666,53.5,48
липень,Понеділок,Мамалига – Крива,16.963782051282053,4.25,60.516666666666666,52
липень,Понеділок,Могилів-Подільський – Отач,19.241145833333334,3.9833333333333334,48.61666666666667,64
липень,Понеділок,Виноградівка – Вулканешти,26.33452380952381,3.6666666666666665,35.21666666666667,14
липень,Понеділок,Смільниця – Кросьценко,33.75555555555555,4.916666666666667,115.88333333333334,21
липень,Понеділок,Угринів – Долгобичув,36.0019298245614,2.1166666666666667,128.0,95
липень,Понеділок,Порубне – Сірет,38.753392330383484,1.85,175.61666666666667,226
липень,Понеділок,Красноїльськ – Вікову де Сус,41.94207650273224,2.566666666666667,149.66666666666666,61
липень,Понеділок,Ягодин – Дорогуськ,44.000179211469536,1.6833333333333333,348.81666666666666,186
липень,Понеділок,Рені – Джурджулешти,44.41477272727273,3.9,135.46666666666667,88
липень,Понеділок,Ужгород - Вишнє Нємецьке,44.573913043478264,1.9666666666666666,139.7,115
липень,Понеділок,Чоп (Тиса) - Захонь,45.803733333333334,4.7,471.71666666666664,125
липень,Понеділок,Дякове – Халмеу,50.14082125603865,3.033333333333333,130.46666666666667,69
липень,Понеділок,Рава-Руська – Хребенне,52.86594202898551,3.4833333333333334,510.48333333333335,138
липень,Понеділок,Орлівка – Ісакча,64.7551724137931,1.8666666666666667,462.15,145
липень,Понеділок,Лужанка – Берегшурань,78.13983739837398,14.583333333333334,247.28333333333333,41
липень,Вівторок,Серпневе 1 – Басараб'яска,8.037777777777778,1.0333333333333334,23.216666666666665,15
липень,Вівторок,Устилуг - Зосин,8.361904761904762,0.36666666666666664,23.35,98
липень,Вівторок,Нижанковичі – Мальховичі,8.967543859649123,0.25,24.233333333333334,38
липень,Вівторок,Краківець – Корчова,9.734772727272727,0.5,47.93333333333333,220
липень,Вівторок,Грушів – Будомєж,9.89725085910653,0.45,34.766666666666666,97
липень,Вівторок,Старокозаче – Тудора,10.338188976377953,1.5,39.38333333333333,127
липень,Вівторок,Шегині - Медика,10.723940677966102,1.05,25.35,236
липень,Вівторок,Табаки – Мирне,12.183333333333334,4.233333333333333,23.1,25
липень,Вівторок,Маяки-Удобне – Паланка,13.292222222222222,2.4166666666666665,25.933333333333334,15
липень,Вівторок,Смільниця – Кросьценко,15.693981481481481,2.183333333333333,71.33333333333333,36
липень,Вівторок,Дяківці – Раковець,16.288690476190478,1.25,54.06666666666667,84
липень,Вівторок,Мамалига – Крива,18.15859375,6.65,35.766666666666666,64
липень,Вівторок,Могилів-Подільський – Отач,20.35655737704918,1.15,118.43333333333334,122
липень,Вівторок,Росошани – Бричень,25.9875,23.95,26.966666666666665,4
липень,Вівторок,Виноградівка – Вулканешти,28.632098765432097,1.0,101.68333333333334,27
липень,Вівторок,Угринів – Долгобичув,32.82378917378917,4.333333333333333,126.73333333333333,117
липень,Вівторок,Рені – Джурджулешти,36.564375,2.8,210.25,80
липень,Вівторок,Порубне – Сірет,38.04686192468619,2.0,463.1333333333333,239
липень,Вівторок,Ужгород - Вишнє Нємецьке,38.617514124293784,5.283333333333333,146.53333333333333,118
липень,Вівторок,Чоп (Тиса) - Захонь,40.33881720430107,1.9,209.13333333333333,155
липень,Вівторок,Красноїльськ – Вікову де Сус,43.48992248062015,4.633333333333334,128.16666666666666,86
липень,Вівторок,Лужанка – Берегшурань,44.92687074829932,1.8666666666666667,229.68333333333334,49
липень,Вівторок,Ягодин – Дорогуськ,50.363414634146345,1.9833333333333334,381.85,246
липень,Вівторок,Орлівка – Ісакча,64.59945175438597,4.966666666666667,326.98333333333335,152
липень,Вівторок,Дякове – Халмеу,68.79033333333334,2.466666666666667,439.6666666666667,100
липень,Вівторок,Рава-Руська – Хребенне,76.59800838574424,5.383333333333334,718.85,159
липень,Середа,Росошани – Бричень,5.566666666666666,5.566666666666666,5.566666666666666,1
липень,Середа,Серпневе 1 – Басараб'яска,7.506666666666667,1.2333333333333334,21.1,15
липень,Середа,Устилуг - Зосин,7.5677536231884055,0.36666666666666664,25.966666666666665,92
липень,Середа,Грушів – Будомєж,9.945156695156696,0.31666666666666665,52.43333333333333,117
липень,Середа,Маяки-Удобне – Паланка,10.318939393939393,0.6166666666666667,26.416666666666668,44
липень,Середа,Краківець – Корчова,10.588453159041395,0.23333333333333334,44.7,306
липень,Середа,Старокозаче – Тудора,10.779817708333333,1.7,40.93333333333333,128
липень,Середа,Шегині - Медика,11.879477611940299,1.1166666666666667,25.716666666666665,268
липень,Середа,Табаки – Мирне,11.881818181818183,4.466666666666667,59.85,22
липень,Середа,Нижанковичі – Мальховичі,13.004583333333333,1.6166666666666667,24.616666666666667,40
липень,Середа,Дяківці – Раковець,16.469761904761903,2.0166666666666666,76.86666666666666,70
липень,Середа,Виноградівка – Вулканешти,18.053508771929824,2.15,91.81666666666666,19
липень,Середа,Мамалига – Крива,18.58034825870647,2.7666666666666666,40.13333333333333,67
липень,Середа,Могилів-Подільський – Отач,23.21155115511551,4.266666666666667,80.56666666666666,101
липень,Середа,Смільниця – Кросьценко,24.310493827160496,1.5833333333333333,121.06666666666666,54
липень,Середа,Угринів – Долгобичув,33.214484126984125,2.6333333333333333,161.6,84
липень,Середа,Чоп (Тиса) - Захонь,36.04759615384615,3.3666666666666667,146.36666666666667,104
липень,Середа,Рені – Джурджулешти,36.144017094017094,1.3,187.0,78
липень,Середа,Порубне – Сірет,37.47824074074074,1.4333333333333333,169.75,252
липень,Середа,Ягодин – Дорогуськ,38.719302325581396,2.5166666666666666,367.75,215
липень,Середа,Красноїльськ – Вікову де Сус,38.73486842105263,2.4166666666666665,196.35,76
липень,Середа,Ужгород - Вишнє Нємецьке,42.6911036036036,1.7333333333333334,120.5,148
липень,Середа,Дякове – Халмеу,50.86291666666666,3.533333333333333,412.73333333333335,80
липень,Середа,Лужанка – Берегшурань,55.0,12.516666666666667,197.98333333333332,48
липень,Середа,Орлівка – Ісакча,58.69383838383838,4.433333333333334,441.96666666666664,165
липень,Середа,Рава-Руська – Хребенне,62.33388888888889,3.1333333333333333,718.7,180
липень,Четвер,Серпневе 1 – Басараб'яска,5.915384615384616,0.48333333333333334,23.633333333333333,13
липень,Четвер,Устилуг - Зосин,9.582971014492754,0.31666666666666665,27.083333333333332,92
липень,Четвер,Нижанковичі – Мальховичі,10.26547619047619,1.1,22.55,28
липень,Четвер,Грушів – Будомєж,10.988375350140055,0.31666666666666665,45.21666666666667,119
липень,Четвер,Старокозаче – Тудора,12.09611528822055,1.6,58.3,133
липень,Четвер,Маяки-Удобне – Паланка,12.182291666666666,1.6333333333333333,27.583333333333332,16
липень,Четвер,Краківець – Корчова,12.778947368421052,1.6,74.73333333333333,304
липень,Четвер,Шегині - Медика,12.795020746887968,0.6833333333333333,27.333333333333332,241
липень,Четвер,Табаки – Мирне,14.276515151515152,4.283333333333333,78.2,22
липень,Четвер,Смільниця – Кросьценко,15.098870056497175,1.1666666666666667,71.9,59
липень,Четвер,Дяківці – Раковець,19.31586345381526,1.25,74.36666666666666,83
липень,Четвер,Могилів-Подільський – Отач,19.894927536231883,2.3666666666666667,72.05,92
липень,Четвер,Мамалига – Крива,20.301225490196078,4.266666666666667,64.06666666666666,68
липень,Четвер,Виноградівка – Вулканешти,24.00925925925926,2.05,60.31666666666667,18
липень,Четвер,Дякове – Халмеу,25.98235294117647,2.2333333333333334,167.23333333333332,68
липень,Четвер,Росошани – Бричень,26.666666666666664,26.216666666666665,27.266666666666666,4
липень,Четвер,Угринів – Долгобичув,27.738138138138137,1.1833333333333333,137.61666666666667,111
липень,Четвер,Чоп (Тиса) - Захонь,31.339949109414757,0.85,170.9,131
липень,Четвер,Красноїльськ – Вікову де Сус,36.077118644067795,4.65,142.03333333333333,59
липень,Четвер,Рені – Джурджулешти,37.26138613861386,2.683333333333333,165.9,101
липень,Четвер,Ягодин – Дорогуськ,38.17581560283688,2.183333333333333,295.23333333333335,235
липень,Четвер,Ужгород - Вишнє Нємецьке,38.567989417989416,1.5166666666666666,148.73333333333332,126
липень,Четвер,Порубне – Сірет,42.64488636363637,1.35,239.3,264
липень,Четвер,Лужанка – Берегшурань,47.21969696969697,3.2333333333333334,166.13333333333333,44
липень,Четвер,Орлівка – Ісакча,56.06388888888889,4.583333333333333,306.1666666666667,132
липень,Четвер,Рава-Руська – Хребенне,76.45461538461538,1.45,722.1166666666667,195
липень,П'ятниця,Серпневе 1 – Басараб'яска,6.036666666666667,1.1,19.166666666666668,10
липень,П'ятниця,Нижанковичі – Мальховичі,8.558333333333334,0.5833333333333334,20.183333333333334,26
липень,П'ятниця,Устилуг - Зосин,8.781746031746032,1.05,24.966666666666665,84
липень,П'ятниця,Табаки – Мирне,9.812222222222223,4.183333333333334,19.133333333333333,15
липень,П'ятниця,Шегині - Медика,9.954430379746835,0.9,23.216666666666665,158
липень,П'ятниця,Старокозаче – Тудора,10.883333333333333,1.6333333333333333,58.916666666666664,104
липень,П'ятниця,Краківець – Корчова,11.273019801980197,2.033333333333333,38.81666666666667,202
